date,position,strategy_ret,strategy_nav
2014-01-02,0.0,0.0,1.0
2014-01-03,0.0,-0.0,1.0
2014-01-06,0.0,-0.0,1.0
2014-01-07,0.0,-0.0,1.0
2014-01-08,0.0,-0.0,1.0
2014-01-09,0.0,-0.0,1.0
2014-01-10,0.0,0.0,1.0
2014-01-13,0.0,-0.0,1.0
2014-01-14,0.0,-0.0,1.0
2014-01-15,0.0,-0.0,1.0
2014-01-16,0.0,0.0,1.0
2014-01-17,0.0,0.0,1.0
2014-01-20,0.0,-0.0,1.0
2014-01-21,0.0,0.0,1.0
2014-01-22,0.0,-0.0,1.0
2014-01-23,0.0,0.0,1.0
2014-01-24,0.0,0.0,1.0
2014-01-27,0.0,0.0,1.0
2014-01-28,0.0,-0.0,1.0
2014-01-29,0.0,0.0,1.0
2014-01-30,0.0,0.0,1.0
2014-02-07,0.0,-0.0,1.0
2014-02-10,0.0,-0.0,1.0
2014-02-11,0.0,0.0,1.0
2014-02-12,0.0,-0.0,1.0
2014-02-13,0.0,-0.0,1.0
2014-02-14,0.0,-0.0,1.0
2014-02-17,0.0,-0.0,1.0
2014-02-18,0.0,0.0,1.0
2014-02-19,0.0,-0.0,1.0
2014-02-20,0.0,-0.0,1.0
2014-02-21,0.0,-0.0,1.0
2014-02-24,0.0,-0.0,1.0
2014-02-25,0.0,-0.0,1.0
2014-02-26,0.0,-0.0,1.0
2014-02-27,0.0,0.0,1.0
2014-02-28,0.0,-0.0,1.0
2014-03-03,0.0,0.0,1.0
2014-03-04,0.0,0.0,1.0
2014-03-05,0.0,0.0,1.0
2014-03-06,0.0,0.0,1.0
2014-03-07,0.0,0.0,1.0
2014-03-10,0.0,-0.0,1.0
2014-03-11,0.0,-0.0,1.0
2014-03-12,0.0,-0.0,1.0
2014-03-13,0.0,0.0,1.0
2014-03-14,0.0,-0.0,1.0
2014-03-17,0.0,-0.0,1.0
2014-03-18,0.0,0.0,1.0
2014-03-19,0.0,0.0,1.0
2014-03-20,0.0,0.0,1.0
2014-03-21,0.0,-0.0,1.0
2014-03-24,0.0,0.0,1.0
2014-03-25,0.0,0.0,1.0
2014-03-26,0.0,0.0,1.0
2014-03-27,0.0,0.0,1.0
2014-03-28,0.0,0.0,1.0
2014-03-31,0.0,0.0,1.0
2014-04-01,0.0,-0.0,1.0
2014-04-02,0.0,-0.0,1.0
2014-04-03,0.0,-0.0,1.0
2014-04-04,0.0,-0.0,1.0
2014-04-08,0.0,0.0,1.0
2014-04-09,0.0,0.0,1.0
2014-04-10,0.0,-0.0,1.0
2014-04-11,0.0,-0.0,1.0
2014-04-14,0.0,0.0,1.0
2014-04-15,0.0,0.0,1.0
2014-04-16,0.0,-0.0,1.0
2014-04-17,0.0,0.0,1.0
2014-04-18,0.0,-0.0,1.0
2014-04-21,0.0,-0.0,1.0
2014-04-22,0.0,-0.0,1.0
2014-04-23,0.0,0.0,1.0
2014-04-24,0.0,-0.0,1.0
2014-04-25,0.0,0.0,1.0
2014-04-28,0.0,-0.0,1.0
2014-04-29,0.0,-0.0,1.0
2014-04-30,0.0,0.0,1.0
2014-05-05,0.0,-0.0,1.0
2014-05-06,0.0,-0.0,1.0
2014-05-07,0.0,-0.0,1.0
2014-05-08,0.0,0.0,1.0
2014-05-09,0.0,-0.0,1.0
2014-05-12,0.0,0.0,1.0
2014-05-13,0.0,0.0,1.0
2014-05-14,0.0,0.0,1.0
2014-05-15,0.0,0.0,1.0
2014-05-16,0.0,-0.0,1.0
2014-05-19,0.0,0.0,1.0
2014-05-20,0.0,0.0,1.0
2014-05-21,0.0,0.0,1.0
2014-05-22,0.0,0.0,1.0
2014-05-23,0.0,-0.0,1.0
2014-05-26,0.0,0.0,1.0
2014-05-27,0.0,0.0,1.0
2014-05-28,0.0,-0.0,1.0
2014-05-29,0.0,0.0,1.0
2014-05-30,0.0,0.0,1.0
2014-06-03,0.0,-0.0,1.0
2014-06-04,0.0,-0.0,1.0
2014-06-05,0.0,0.0,1.0
2014-06-06,0.0,0.0,1.0
2014-06-09,0.0,0.0,1.0
2014-06-10,0.0,-0.0,1.0
2014-06-11,0.0,-0.0,1.0
2014-06-12,0.0,-0.0,1.0
2014-06-13,0.0,0.0,1.0
2014-06-16,0.0,0.0,1.0
2014-06-17,0.0,0.0,1.0
2014-06-18,0.0,-0.0,1.0
2014-06-19,0.0,-0.0,1.0
2014-06-20,0.0,0.0,1.0
2014-06-23,0.0,0.0,1.0
2014-06-24,0.0,-0.0,1.0
2014-06-25,0.0,0.0,1.0
2014-06-26,0.0,0.0,1.0
2014-06-27,0.0,0.0,1.0
2014-06-30,0.0,0.0,1.0
2014-07-01,0.0,0.0,1.0
2014-07-02,0.0,-0.0,1.0
2014-07-03,0.0,-0.0,1.0
2014-07-04,0.0,0.0,1.0
2014-07-07,0.0,0.0,1.0
2014-07-08,0.0,-0.0,1.0
2014-07-09,0.0,-0.0,1.0
2014-07-10,0.0,-0.0,1.0
2014-07-11,0.0,0.0,1.0
2014-07-14,0.0,0.0,1.0
2014-07-15,0.0,0.0,1.0
2014-07-16,0.0,0.0,1.0
2014-07-17,0.0,0.0,1.0
2014-07-18,0.0,0.0,1.0
2014-07-21,0.0,0.0,1.0
2014-07-22,0.0,-0.0,1.0
2014-07-23,0.0,0.0,1.0
2014-07-24,0.0,-0.0,1.0
2014-07-25,0.0,-0.0,1.0
2014-07-28,0.0,0.0,1.0
2014-07-29,0.0,0.0,1.0
2014-07-30,0.0,0.0,1.0
2014-07-31,0.0,-0.0,1.0
2014-08-01,0.0,-0.0,1.0
2014-08-04,0.0,0.0,1.0
2014-08-05,0.0,-0.0,1.0
2014-08-06,0.0,-0.0,1.0
2014-08-07,0.0,-0.0,1.0
2014-08-08,0.0,0.0,1.0
2014-08-11,0.0,0.0,1.0
2014-08-12,0.0,0.0,1.0
2014-08-13,0.0,-0.0,1.0
2014-08-14,0.0,-0.0,1.0
2014-08-15,-0.016666666666666666,-0.0,1.0
2014-08-18,-0.016666666666666666,-1.6666666666666667e-06,0.9999983333333333
2014-08-19,-0.016666666666666666,4.373177842565597e-05,1.0000420650388726
2014-08-20,-0.016666666666666666,-9.743739647276595e-05,0.9999446235436921
2014-08-21,0.0,-4.8435532306490005e-06,0.9999397802586802
2014-08-22,0.0,-8.398314933178274e-05,0.999855802166792
2014-08-25,0.0,-0.0,0.999855802166792
2014-08-26,0.0,0.0,0.999855802166792
2014-08-27,0.0,-0.0,0.999855802166792
2014-08-28,0.0,-0.0,0.999855802166792
2014-08-29,0.0,-0.0,0.999855802166792
2014-09-01,0.0,0.0,0.999855802166792
2014-09-02,0.0,-0.0,0.999855802166792
2014-09-03,0.0,0.0,0.999855802166792
2014-09-04,0.0,-0.0,0.999855802166792
2014-09-05,0.0,0.0,0.999855802166792
2014-09-09,0.0,-0.0,0.999855802166792
2014-09-10,0.0,-0.0,0.999855802166792
2014-09-11,0.0,-0.0,0.999855802166792
2014-09-12,0.0,-0.0,0.999855802166792
2014-09-15,0.0,-0.0,0.999855802166792
2014-09-16,0.0,-0.0,0.999855802166792
2014-09-17,0.0,-0.0,0.999855802166792
2014-09-18,0.0,0.0,0.999855802166792
2014-09-19,0.0,-0.0,0.999855802166792
2014-09-22,0.0,-0.0,0.999855802166792
2014-09-23,0.0,-0.0,0.999855802166792
2014-09-24,0.0,-0.0,0.999855802166792
2014-09-25,0.0,0.0,0.999855802166792
2014-09-26,0.0,0.0,0.999855802166792
2014-09-29,-0.06666666666666667,0.0,0.999855802166792
2014-09-30,-0.06666666666666667,-6.666666666666667e-06,0.9998491364614442
