date,position,strategy_ret,strategy_nav
2014-01-02,0.0,0.0,1.0
2014-01-03,0.0,-0.0,1.0
2014-01-06,0.0,-0.0,1.0
2014-01-07,0.0,0.0,1.0
2014-01-08,0.0,0.0,1.0
2014-01-09,0.0,-0.0,1.0
2014-01-10,0.0,-0.0,1.0
2014-01-13,0.0,0.0,1.0
2014-01-14,0.0,-0.0,1.0
2014-01-15,0.0,0.0,1.0
2014-01-16,0.0,-0.0,1.0
2014-01-17,0.0,-0.0,1.0
2014-01-20,0.0,-0.0,1.0
2014-01-21,0.0,-0.0,1.0
2014-01-22,0.0,0.0,1.0
2014-01-23,0.0,0.0,1.0
2014-01-24,0.0,0.0,1.0
2014-01-27,0.0,0.0,1.0
2014-01-28,0.0,-0.0,1.0
2014-01-29,0.0,-0.0,1.0
2014-01-30,0.0,0.0,1.0
2014-02-07,0.0,0.0,1.0
2014-02-10,0.0,-0.0,1.0
2014-02-11,0.0,0.0,1.0
2014-02-12,0.0,-0.0,1.0
2014-02-13,0.0,0.0,1.0
2014-02-14,0.0,-0.0,1.0
2014-02-17,0.0,0.0,1.0
2014-02-18,0.0,0.0,1.0
2014-02-19,0.0,-0.0,1.0
2014-02-20,0.0,0.0,1.0
2014-02-21,0.0,-0.0,1.0
2014-02-24,0.0,-0.0,1.0
2014-02-25,0.0,-0.0,1.0
2014-02-26,0.0,0.0,1.0
2014-02-27,0.0,0.0,1.0
2014-02-28,0.0,-0.0,1.0
2014-03-03,0.0,-0.0,1.0
2014-03-04,0.0,-0.0,1.0
2014-03-05,0.0,-0.0,1.0
2014-03-06,0.0,-0.0,1.0
2014-03-07,0.0,-0.0,1.0
2014-03-10,0.0,-0.0,1.0
2014-03-11,0.0,-0.0,1.0
2014-03-12,0.0,-0.0,1.0
2014-03-13,0.0,0.0,1.0
2014-03-14,0.0,0.0,1.0
2014-03-17,0.0,-0.0,1.0
2014-03-18,0.0,-0.0,1.0
2014-03-19,0.0,0.0,1.0
2014-03-20,0.0,0.0,1.0
2014-03-21,0.0,-0.0,1.0
2014-03-24,0.0,-0.0,1.0
2014-03-25,0.0,-0.0,1.0
2014-03-26,0.0,0.0,1.0
2014-03-27,0.0,-0.0,1.0
2014-03-28,0.0,0.0,1.0
2014-03-31,0.0,0.0,1.0
2014-04-01,0.0,-0.0,1.0
2014-04-02,0.0,-0.0,1.0
2014-04-03,0.0,-0.0,1.0
2014-04-04,0.0,0.0,1.0
2014-04-08,0.0,0.0,1.0
2014-04-09,0.0,0.0,1.0
2014-04-10,0.0,-0.0,1.0
2014-04-11,0.0,-0.0,1.0
2014-04-14,0.0,-0.0,1.0
2014-04-15,0.0,0.0,1.0
2014-04-16,0.0,0.0,1.0
2014-04-17,0.0,-0.0,1.0
2014-04-18,0.0,-0.0,1.0
2014-04-21,0.0,-0.0,1.0
2014-04-22,0.0,-0.0,1.0
2014-04-23,0.0,0.0,1.0
2014-04-24,0.0,0.0,1.0
2014-04-25,0.0,0.0,1.0
2014-04-28,0.0,-0.0,1.0
2014-04-29,0.0,-0.0,1.0
2014-04-30,0.0,0.0,1.0
2014-05-05,0.0,-0.0,1.0
2014-05-06,0.0,0.0,1.0
2014-05-07,0.0,-0.0,1.0
2014-05-08,0.0,-0.0,1.0
2014-05-09,0.0,0.0,1.0
2014-05-12,0.0,-0.0,1.0
2014-05-13,0.0,0.0,1.0
2014-05-14,0.0,-0.0,1.0
2014-05-15,0.0,-0.0,1.0
2014-05-16,0.0,-0.0,1.0
2014-05-19,0.0,-0.0,1.0
2014-05-20,0.0,0.0,1.0
2014-05-21,0.0,-0.0,1.0
2014-05-22,0.0,-0.0,1.0
2014-05-23,0.0,0.0,1.0
2014-05-26,0.0,-0.0,1.0
2014-05-27,0.0,0.0,1.0
2014-05-28,0.0,-0.0,1.0
2014-05-29,0.0,-0.0,1.0
2014-05-30,0.0,-0.0,1.0
2014-06-03,0.0,0.0,1.0
2014-06-04,0.0,-0.0,1.0
2014-06-05,0.0,0.0,1.0
2014-06-06,0.0,0.0,1.0
2014-06-09,0.0,-0.0,1.0
2014-06-10,0.0,-0.0,1.0
2014-06-11,0.0,-0.0,1.0
2014-06-12,0.0,-0.0,1.0
2014-06-13,0.0,-0.0,1.0
2014-06-16,0.0,0.0,1.0
2014-06-17,0.0,-0.0,1.0
2014-06-18,0.0,0.0,1.0
2014-06-19,0.0,-0.0,1.0
2014-06-20,0.0,-0.0,1.0
2014-06-23,0.0,0.0,1.0
2014-06-24,0.0,-0.0,1.0
2014-06-25,0.0,-0.0,1.0
2014-06-26,0.0,0.0,1.0
2014-06-27,0.0,0.0,1.0
2014-06-30,0.0,-0.0,1.0
2014-07-01,0.0,-0.0,1.0
2014-07-02,0.0,-0.0,1.0
2014-07-03,0.0,0.0,1.0
2014-07-04,0.0,-0.0,1.0
2014-07-07,0.0,-0.0,1.0
2014-07-08,0.0,0.0,1.0
2014-07-09,0.0,0.0,1.0
2014-07-10,0.0,-0.0,1.0
2014-07-11,0.0,0.0,1.0
2014-07-14,0.0,-0.0,1.0
2014-07-15,0.0,0.0,1.0
2014-07-16,0.0,-0.0,1.0
2014-07-17,0.0,-0.0,1.0
2014-07-18,0.0,-0.0,1.0
2014-07-21,0.0,-0.0,1.0
2014-07-22,0.0,0.0,1.0
2014-07-23,0.0,-0.0,1.0
2014-07-24,0.0,0.0,1.0
2014-07-25,0.0,0.0,1.0
2014-07-28,0.0,0.0,1.0
2014-07-29,0.0,0.0,1.0
2014-07-30,0.0,-0.0,1.0
2014-07-31,0.0,0.0,1.0
2014-08-01,0.0,-0.0,1.0
2014-08-04,0.0,-0.0,1.0
2014-08-05,0.0,0.0,1.0
2014-08-06,0.0,-0.0,1.0
2014-08-07,0.0,0.0,1.0
2014-08-08,0.0,0.0,1.0
2014-08-11,-0.041666666666666664,-0.0,1.0
2014-08-12,-0.125,-4.166666666666667e-06,0.9999958333333333
2014-08-13,-0.125,9.58333333333311e-05,1.0000916662673611
2014-08-14,-0.20833333333333334,0.0007832080200501218,1.000874946081167
2014-08-15,-0.20833333333333334,0.0034595102984447254,1.0043374832645902
2014-08-18,-0.20833333333333334,-0.008106355382619992,0.9961959667011613
2014-08-19,-0.20833333333333334,0.002340823970037459,0.9985278860988701
2014-08-20,-0.20833333333333334,-0.0007891414141414366,0.9977399063907744
2014-08-21,-0.20833333333333334,0.0013102725366876309,0.9990472175888755
2014-08-22,-0.20833333333333334,-0.0007911392405063333,0.9982568321319223
2014-08-25,-0.20833333333333334,-0.0005254308532997206,0.997732317192803
2014-08-26,-0.20833333333333334,-0.0020964360587002093,0.9956406351861095
2014-08-27,-0.3333333333333333,-0.001297218762972193,0.9943490714729685
2014-08-28,-0.3333333333333333,0.003081559405940597,0.9974132172069543
2014-08-29,-0.3333333333333333,0.0008375209380234356,0.9982485716602264
2014-09-01,-0.3333333333333333,0.00041981528127625156,0.9986676516651215
2014-09-02,-0.3333333333333333,0.0004203446826397764,0.9990874363022234
2014-09-03,-0.3333333333333333,-0.00420875420875418,0.994882522849773
2014-09-04,-0.3333333333333333,0.0024937655860349053,0.9973635266474032
2014-09-05,-0.4583333333333333,0.002512562814070344,0.9998694651565675
2014-09-09,-0.4583333333333333,0.002941086497890311,1.0028101677401922
2014-09-10,-0.4583333333333333,0.007609621115368221,1.010441173167334
2014-09-11,-0.4583333333333333,-0.0023809523809523816,1.0080353608502688
2014-09-12,-0.4583333333333333,0.0011843238587424484,1.0092292011785797
2014-09-15,-0.4583333333333333,-0.006530656303972389,1.0026382721337497
2014-09-16,-0.4583333333333333,-0.008194976585781184,0.9944216749696055
